,subscriber,income,healthcare,quality childcare,education,affordable housing,children health insurance,# of children younger than 8,employment,children relationship score
1691,178bfcf3-1da3-4c0e-9ee0-1143d17b3cd8,,,,,,Medicaid or CHIP,,,
1692,1792acf6-d1ee-4cd2-893f-6087ee08fa5d,,,,,,Private (through parent/caregiver),,,
1693,179346d2-54b1-4bf4-b112-fb9d5bd8e395,,,,,,Private (through parent/caregiver),,,
1694,17956c3c-6c71-4997-a4be-4352f5c88388,,,,,,Medicaid or CHIP,,,
1695,179c0ebf-cba8-482f-9c31-2eaf8a4337e2,,,,,,,,,
1696,179fa067-dc52-4552-8559-a11a9598da17,,,,,,Don't Know,,,
1697,17a25f1f-1a02-4f7e-8e04-8f41f6bb44e3,,,,,,,,,
1698,17a77a61-cff2-4880-b58e-b5bc8f6cbe9e,,,,,,Private (through parent/caregiver),,,
1699,17af6342-6127-45b9-9334-072eb4ddfa74,,,,,,Private (through parent/caregiver),,,
1700,17b0b3d0-9455-4406-96d8-81470467ff22,,,,,,Private (through parent/caregiver),,,
1701,17b85955-01bc-4124-b7aa-324b41d1e793,,,,,,Private (through parent/caregiver),,,
1702,17b8b95f-d995-4b83-8812-972c1918f72c,,,,,,,,,
1703,17bc89fb-a9e4-4baa-9b06-c3f4db1bdf59,,,,,,Private (through parent/caregiver),,,
1704,17c7c2dd-d50a-42f4-aeae-48679b564463,,,,,,,,,
1705,17cb8444-3782-4eaa-bcdc-fb8f93ca9caf,,,,,,Private (through parent/caregiver),,,
1706,17cc8f0b-b584-4c68-952a-98dd65603135,,,,,,Medicaid or CHIP,,,
1707,17d0881c-773f-41b1-b50f-d51d0a928943,,,,,,Private (through parent/caregiver),,,
1708,17d2cc3c-5c98-4fd6-ac37-ed0cd024b3bf,,,,,,Medicaid or CHIP,,,
1709,17d330fd-6cc0-40d6-b228-b3d9ca6a9141,,,,,,Private (through parent/caregiver),,,
1710,17e0b647-0ae9-4dd3-b7df-22b346055da6,,,,,,Private (through parent/caregiver),,,
1711,17e48aff-bde7-41dc-a223-920cca7f6468,,,,,,Private (through parent/caregiver),,,
1712,17e97454-f96b-45b7-a3bd-764b3d436648,,,,,,Private (through parent/caregiver),,,
1713,17ec0cb8-7fde-4ad5-804d-8da238c6ed70,,,,,,Private (through parent/caregiver),,,
1714,17eec295-0982-4856-a0f2-713b6fa63af3,,,,,,Medicaid or CHIP,,,
1715,17f163a5-3a40-40b1-ae61-90e46661ced2,,,,,,,,,
1716,17f2702e-a0d5-40a1-8630-8846c24b700f,,,,,,,,,
1717,17f3059b-edd6-4258-90a0-0dbce2794cbc,,,,,,,,,
1718,17fa01f4-1441-4b03-b8ce-04afb421723e,,,,,,Private (through parent/caregiver),,,
1719,17ffcac2-bb46-4e2b-982b-82b4b14cdf07,,,,,,Private (through parent/caregiver),,,
1720,180002e4-948e-4938-9d3a-6a463112edf6,,,,,,Private (through parent/caregiver),,,
1721,180266d5-4d87-49c3-9ce8-300c7cbd05bb,,,,,,Medicaid or CHIP,,,
1722,1802a699-37bc-45e6-b262-18e2e64bd69b,,,,,,Private (through parent/caregiver),,,
1723,180805c9-6db4-45db-a620-cfb03485aad1,,,,,,Medicaid or CHIP,,,
1724,180a74a4-ca23-43bb-bf64-d0808313c6a7,,,,,,Private (through parent/caregiver),,,
1725,18153756-305b-4b70-af45-81ef0b6ee873,,,,,,Private (through parent/caregiver),,,
1726,181abbe5-75e4-40b0-a78e-f7a0a2a99a1c,,,,,,Don't Know,,,
1727,181ae057-2b40-4202-8f21-50ddcc1fa4fe,"Over $75,000",Yes,N/A,,Yes,Private (through parent/caregiver),2,Employed full-time outside of the home,
1728,181b9fc4-e487-4680-b81d-25d7bd412afa,,,,,,Private (through parent/caregiver),,,
1729,181d2a9c-42d8-4f08-aade-6e1a69c8d26e,,,,,,Private (through parent/caregiver),,,
1730,181d8451-15f2-4ab1-aafe-9c798af2bb20,,,,,,Private (through parent/caregiver),,,
1731,181f14ea-3920-4c4c-ad34-e2b288140dca,,,,,,Private (through parent/caregiver),,,
1732,1820eb5c-b533-49c1-95fa-a0fa9e248414,,,,,,Private (through parent/caregiver),,,
1733,1821d95c-a213-4786-8402-668cd002ad26,,,,,,Private (through parent/caregiver),,,
1734,18233ebb-9e12-45b5-98a3-f1207773eaff,"Under $50,000",No,Yes,,Yes,Medicaid or CHIP,1,Full-time homemaker,84.0
1735,182a7ac4-fa01-4309-8604-a754f855d186,,,,,,Private (through parent/caregiver),,,
1736,18302640-8f72-4c66-9e99-2554a6184c8f,,,,,,Private (through parent/caregiver),,,
1737,183327e8-0a6c-4601-9afa-0042e4cc2550,,,,,,Private (through parent/caregiver),,,
1738,18370f40-453d-49ed-8f0b-29d7a28093df,,,,,,Private (through parent/caregiver),,,
1739,183ccf3e-98ae-41a3-867c-c65c6435c6fb,,,,,,Private (through parent/caregiver),,,
1740,183d771b-5034-4f48-b1bb-410bff79721e,,,,,,,,,
1741,1841f65c-df62-4992-a333-cd8b0da5c869,,,,,,,,,
1742,1842718b-d387-467a-b9f6-007a6db76a72,,,,,,Private (through parent/caregiver),,,
1743,18461709-f2a2-426e-b224-d2b6155214b6,,,,,,Don't Know,,,
1744,1848cbce-0404-4f6e-a4e3-275d6055e9b9,,,,,,Medicaid or CHIP,,,
1745,1849a5e1-0a78-46db-9c40-532ba6ae4f51,,,,,,Don't Know,,,
1746,184aa5ed-e052-4bcd-91e7-4476d560a99d,,,,,,Private (through parent/caregiver),,,
1747,184b3305-1eee-4a07-aabb-75a2a53673b2,,,,,,Medicaid or CHIP,,,
1748,184b6ce6-bd41-461d-94d8-f22c38b49db5,,,,,,Private (through parent/caregiver),,,
1749,184b9212-7bf0-411a-bbf7-f562ca4cd8a8,,,,,,Medicaid or CHIP,,,
1750,185584e7-0be0-4f92-bdd1-2ba7c8e1fcfe,,,,,,Private (through parent/caregiver),,,
1751,185630e4-b818-4834-85ee-ed12cbf63941,,,,,,,,,
1752,185fd535-0cd4-4a52-9259-2646faa9d81e,,,,,,,,,
1753,186642ed-4a53-48fa-b786-dc2e4983cc76,,,,,,Private (through parent/caregiver),,,
1754,186ca690-2c13-4a46-963f-5f629c32082c,,,,,,Medicaid or CHIP,,,
1755,1874edd3-9e33-486a-a8c4-bc3e60e71146,,,,,,Medicaid or CHIP,,,
1756,1878b2c1-7c6e-4cb9-98e9-0655943f0449,,,,,,,,,
1757,187d236f-cc27-4559-bfba-00138ec6f5b5,,,,,,Medicaid or CHIP,,,
1758,1880fada-3d80-497b-a6b9-b1b6e3cff30c,,,,,,Private (through parent/caregiver),,,
1759,188408d9-6273-42f5-b50f-0daa2567e31c,,,,,,Private (through parent/caregiver),,,
1760,1884d093-d778-4891-9d6f-e606967c4dd6,,,,,,,,,
1761,1884d417-d29f-435e-8f1d-417ca1e1e814,"Over $75,000",Yes,N/A,,No,Private (through parent/caregiver),1,Full-time homemaker,56.0
1762,18850542-7c79-4026-9fd5-2131d7d1c4b6,,,,,,Don't Know,,,
1763,1885a21b-415f-4dd7-ace3-8ebec516157b,,,,,,,,,
1764,188c94c6-2977-4743-a69e-6842cbbaa404,,,,,,Medicaid or CHIP,,,
1765,188d0e0d-1ff2-4f0d-b2d7-0d1c76493547,,,,,,Medicaid or CHIP,,,
1766,18945e1e-0ee0-4e91-bc83-05f7e9bf0064,,,,,,Medicaid or CHIP,,,
1767,1894cda4-ed34-45bf-9dcd-5383860a5964,,,,,,Private (through parent/caregiver),,,
1768,18958957-6c2c-49d4-8f9c-93314c23a2dc,,,,,,Private (through parent/caregiver),,,
1769,189793ef-cc9d-4671-bb2a-6f785c43f828,,,,,,Medicaid or CHIP,,,
1770,189d9489-1df5-49a4-bdf3-956596f49019,,,,,,Medicaid or CHIP,,,
1771,189ee4e5-919a-4bad-ba71-996cac4401d0,,,,,,Private (through parent/caregiver),,,
1772,18a7efd4-30d4-449b-a7fa-91ada6af7785,,,,,,Don't Know,,,
1773,18aa175e-55d6-43cc-9951-816789d1ec02,,,,,,,,,
1774,18b3d2b8-171e-4035-8b90-f855dbe2acb1,,,,,,Medicaid or CHIP,,,
1775,18bf07e9-9eeb-4cd2-856e-491e8ec5d8bd,,,,,,Private (through parent/caregiver),,,
1776,18c47355-ba0a-44ec-a9ea-2c5af10980ea,,,,,,Private (through parent/caregiver),,,
1777,18c8530a-5d36-4f00-9f28-468204468c90,,,,,,,,,
1778,18ca48de-219d-44a6-84d9-f1adc0052425,,,,,,Private (through parent/caregiver),,,
1779,18cb3c75-f52b-41ca-9b5a-a6d83c54d7b2,,,,,,None,,,
1780,18cdf04a-e508-4120-9dae-bba85c26f45c,,,,,,Private (through parent/caregiver),,,
1781,18cfad44-0cd1-4035-b4a9-a0b860e42203,,,,,,Private (through parent/caregiver),,,
1782,18dbfa1e-dd72-49c9-92f2-fa179be256a0,,,,,,Medicaid or CHIP,,,
1783,18e0bbab-ef7f-4266-a942-d3a3c338c056,,,,,,Medicaid or CHIP,,,
1784,18e13b3f-9ca0-4f3a-bfc3-e3a1d23fa6f8,,,,,,Medicaid or CHIP,,,
1785,18e35b7b-d0c5-4fef-86a7-1004cf6d3a3e,,,,,,Medicaid or CHIP,,,
1786,18ea13ed-7e92-4766-b8bd-a2b0e648aed4,,,,,,Medicaid or CHIP,,,
1787,18ebaa9f-ce96-415b-89a9-0a8e12ec8132,,,,,,Don't Know,,,
1788,18ed946d-e1e2-4d48-a807-e5648d031741,,,,,,Private (through parent/caregiver),,,
1789,18ef0cb2-e9b7-4d84-8e9b-c37c769eda73,,,,,,Private (through parent/caregiver),,,
1790,18facab6-7119-4656-996d-519869a5a6f4,,,,,,,,,
1791,18fb13cf-073a-4f88-997f-6d9747fff87e,,,,,,Private (through parent/caregiver),,,
1792,18fb2bea-b189-4112-9278-2120539df816,,,,,,,,,
1793,18fd2f3b-3b67-4dd5-bded-1d592f5a444e,,,,,,Private (through parent/caregiver),,,
1794,18ffeae2-e5a0-4e8b-9bf0-01428f889ab6,,,,,,Private (through parent/caregiver),,,
1795,1900e524-0a80-4845-a1df-01422c5c4e82,,,,,,Private (through parent/caregiver),,,
1796,19067738-4d9d-47ba-af66-07e0265a9290,,,,,,Private (through parent/caregiver),,,
1797,1917ea3e-2b21-4eef-994a-e6e1017505ac,,,,,,Don't Know,,,
1798,191d2b82-2b89-4d85-9fb7-112168d17061,,,,,,Private (through parent/caregiver),,,
1799,192a1e7c-0055-43f6-b6f2-72756ccbe1de,,,,,,Private (through parent/caregiver),,,
1800,19340cce-6fa2-4a42-b424-2be5cf4d2d14,,,,,,Private (through parent/caregiver),,,
1801,1941a84c-4d03-4133-9b84-ca20da5a0dfd,,,,,,,,,
1802,19425362-2e99-4b6e-bdc8-164c9b5bd42d,,,,,,Private (through parent/caregiver),,,
1803,1948e5bc-0f1b-415d-ae68-85e7f699af19,,,,,,Private (through parent/caregiver),,,
1804,194a51d6-59d6-4926-b0d2-1520997957ff,Do not know,Yes,Yes,,No,Private (through parent/caregiver),2,Employed full-time outside of the home,
1805,194b6f66-67db-441d-ba4e-0c659e86d67b,,,,,,,,,
1806,1950e411-e0f0-4854-8251-6e81ab22a7b9,,,,,,Private (through parent/caregiver),,,
1807,1951011a-6c13-42a2-be37-e19f3d48a67d,,,,,,Medicaid or CHIP,,,
1808,19536aca-edc8-4151-8c6b-9a57a801617a,,,,,,,,,
1809,195abe93-4b5c-4874-8cb4-dda457be7064,,,,,,Private (through parent/caregiver),,,
1810,195c6c70-ad08-4b72-aa31-eb7583e02bcd,,,,,,Private (through parent/caregiver),,,
1811,195ecde2-ea95-427c-ba92-3745e17d3587,,,,,,Private (through parent/caregiver),,,
1812,1960abb3-3b1f-494f-9499-bef53761fd9e,,,,,,,,,
1813,1961bc5d-5262-4cc2-bba1-787ef618dae5,,,,,,Private (through parent/caregiver),,,
1814,19660ce5-75e4-44d0-bf98-73f49142a0e8,,,,,,Private (through parent/caregiver),,,
1815,19685c39-8ed3-40da-ac70-ca248e91249b,,,,,,Medicaid or CHIP,,,
1816,19694048-dd02-4f91-a75f-41194daa4cb5,,,,,,Private (through parent/caregiver),,,
1817,196c72fe-67ed-45b2-9d3a-bb95ec231c77,,,,,,,,,
1818,196e12b6-92e7-404f-8bc9-dcee29d4dad7,,,,,,Private (through parent/caregiver),,,
1819,19717328-3f1b-4d96-a601-4b4b4bb38c55,,,,,,Medicaid or CHIP,,,
1820,197503b3-4895-45b3-9b0a-5603237c45ff,,,,,,Private (through parent/caregiver),,,
1821,1976b1d0-2309-43bf-97fc-821730a893bd,,,,,,,,,
1822,197b67ad-6e2d-46a1-be66-8ce098ab09fa,,,,,,Private (through parent/caregiver),,,
1823,197d8c6d-0ae3-4697-a59c-918ef3926d47,,,,,,Private (through parent/caregiver),,,
1824,19846fc4-0a11-4b1f-b1f2-cea8bcddf90c,,,,,,,,,
1825,19856fe2-9476-4e63-a738-8101f5cd3e63,,,,,,Medicaid or CHIP,,,
1826,1986ceac-192f-474b-bb89-ecaae0b4f5d4,,,,,,Private (through parent/caregiver),,,
1827,198953e4-eff0-47ac-9217-de47dc72856b,,,,,,Medicaid or CHIP,,,
1828,198c836e-4462-4e76-9501-b77c88cf0616,,,,,,Private (through parent/caregiver),,,
1829,1990afcb-337a-44c9-aa7d-4ae3b8fb0351,,,,,,Medicaid or CHIP,,,
1830,199255e4-ca35-43e3-b882-03dcf5bae45e,,,,,,Private (through parent/caregiver),,,
1831,19932305-c94a-458a-a07d-8c61bd84705c,,,,,,,,,
1832,1994c7ec-411e-4d2b-a0e3-161cfb3ece43,,,,,,Private (through parent/caregiver),,,
1833,199b1f2c-e445-4c98-a81e-d0f81810362b,,,,,,Medicaid or CHIP,,,
1834,19a083cb-e4e5-44d0-83df-6c7111426cdb,,,,,,Private (through parent/caregiver),,,
1835,19a20150-d19a-4911-a1f1-e2b9b4ed2809,,,,,,Medicaid or CHIP,,,
1836,19a3d3e2-0625-4bc3-9564-a20f4f7dcae6,,,,,,Private (through parent/caregiver),,,
1837,19a6a220-3d32-430b-95ef-ecf8cf8911d0,,,,,,,,,
1838,19a7d98a-dc1c-4c64-bc3f-48c1beee2993,,,,,,Medicaid or CHIP,,,
1839,19ab21d6-7e47-422f-b074-0d11aa7bb068,,,,,,Private (through parent/caregiver),,,85.0
1840,19b867f0-40de-4b3b-af8d-a2dc6be7662f,,,,,,Medicaid or CHIP,,,
1841,19bbdbd5-15d7-4311-b4bb-1daebd365e63,,,,,,,,,
1842,19bcdbef-69ba-438b-931a-f00be56c5185,,,,,,Medicaid or CHIP,,,
1843,19bdcc16-9f30-4dea-a399-288fad286616,,,,,,Private (through parent/caregiver),,,
1844,19c03b3b-f84e-46a7-868c-af7ab291d58b,,,,,,Private (through parent/caregiver),,,76.0
1845,19c4bf35-a479-4d83-92f7-e73d00ecc0ca,"Over $75,000",Yes,Yes,,Yes,Private (through parent/caregiver),1,Employed full-time outside of the home,
1846,19cac478-a238-4f0a-95b4-5916f8384604,,,,,,Medicaid or CHIP,,,
1847,19d16655-d951-40c6-87cc-d89df15d2ea8,,,,,,Private (through parent/caregiver),,,
1848,19d7e837-49d6-4d2f-a574-2bc1caebb36e,,,,,,Medicaid or CHIP,,,
1849,19d8c575-3224-4100-9958-3ec4b4d7a1d0,,,,,,Medicaid or CHIP,,,
1850,19d8e7db-901e-40f9-bb99-b8b1b5237dcb,,,,,,Private (through parent/caregiver),,,
1851,19de6a6e-a83e-42f1-9620-1e616d64d38c,,,,,,Private (through parent/caregiver),,,
1852,19df068f-0765-4122-8b6c-07e8d3c676dc,,,,,,None,,,
1853,19e85b8e-ac59-44f1-b39b-8daf50840817,,,,,,Private (through parent/caregiver),,,
1854,19eb7718-aea9-436b-886e-cdee8004b82b,,,,,,,,,
1855,19f00e93-000b-4261-b621-38fa67995794,,,,,,Private (through parent/caregiver),,,
1856,19fa0e46-e1cc-4421-a177-bc9902194430,,,,,,Private (through parent/caregiver),,,
1857,1a0060ce-3cf1-4a2c-a7a8-14caea3d3534,,,,,,,,,
1858,1a023f8f-70ac-4608-afa8-0b35d7e0abc2,,,,,,Private (through parent/caregiver),,,
1859,1a0b9859-82da-41d9-b047-1a7888d17353,,,,,,Private (through parent/caregiver),,,
1860,1a157370-a58a-42a6-b788-19625e7381d8,,,,,,,,,
1861,1a1af0a1-5de2-46fb-b417-547d3669c98b,"Under $50,000",No,No,,Yes,Medicaid or CHIP,1,Employed part-time outside of the home,54.0
1862,1a254318-0460-4db2-8a2b-6f763c539387,,,,,,Private (through parent/caregiver),,,
1863,1a2604ca-5470-488e-8442-137b2e125d60,,,,,,,,,
1864,1a26b5e5-e681-42d2-912f-004f51377c78,,,,,,Private (through parent/caregiver),,,
1865,1a27e698-38cd-4f43-9216-2d545cd5f4b8,,,,,,Private (through parent/caregiver),,,
1866,1a2f15c8-d8f0-4bae-b867-fa4574e58730,,,,,,Medicaid or CHIP,,,
1867,1a31e3c3-9cdb-446e-bad2-0e4bb547e7a5,,,,,,,,,
1868,1a34e566-1a58-44ed-848e-02e71e796aa6,,,,,,Private (through parent/caregiver),,,
1869,1a3532fb-c702-4418-98c5-aa072ded788b,,,,,,Private (through parent/caregiver),,,
1870,1a3b0ab0-750c-45d6-85f5-687acdd5e2f6,,,,,,Medicaid or CHIP,,,
1871,1a400b5a-1a7f-4207-8eb8-00ee502306f6,,,,,,Private (through parent/caregiver),,,
1872,1a45adc9-038a-416e-b91e-98169fe356c1,,,,,,Don't Know,,,
1873,1a5a5fc6-645d-438d-835c-a66f334a77f6,,,,,,,,,
1874,1a5c5a2f-a56e-47f6-a5ec-cca05ba2547b,,,,,,,,,
1875,1a5d550e-d9e4-4ad1-bca8-8a7307151e41,,,,,,Private (through parent/caregiver),,,
1876,1a5f4de9-1455-4d45-b3ae-ae066568eda9,,,,,,Private (through parent/caregiver),,,
1877,1a6c33d3-375f-4d0b-99a3-5aa0ff8c6637,,,,,,Medicaid or CHIP,,,
1878,1a76e470-9735-4fbb-bdec-5064d2b35169,,,,,,Private (through parent/caregiver),,,
1879,1a775e5b-f7ad-4577-a42b-1c3536cd0aa9,,,,,,Private (through parent/caregiver),,,
1880,1a7c3454-a097-4e36-872f-10ffaa37999d,,,,,,Medicaid or CHIP,,,
1881,1a7c971d-0239-47b4-be10-5236a98ce5a4,,,,,,,,,
1882,1a88bdfc-bfc9-4ddb-81a3-3d90702842ce,,,,,,Medicaid or CHIP,,,
1883,1a8b6fb5-5109-4590-994b-912b301fa570,,,,,,Private (through parent/caregiver),,,
1884,1a8e7086-64a8-4c20-8da8-55dc50346ffd,,,,,,,,,
1885,1a9226a5-722e-4df2-af37-c1c0153569da,,,,,,Private (through parent/caregiver),,,
1886,1a9b2abd-0c80-4a1a-972a-e57eb6cc1efe,,,,,,Private (through parent/caregiver),,,
1887,1a9b5331-b9b7-40cb-8d7b-2c26c5430b45,,,,,,Private (through parent/caregiver),,,
1888,1aa073c7-655d-4309-b39c-e53f7a353055,,,,,,Private (through parent/caregiver),,,
1889,1aa1d1ad-f081-475c-9921-017e9d256c81,,,,,,Private (through parent/caregiver),,,
1890,1aab5536-fa70-4e78-a888-8f1410c4137f,,,,,,None,,,
1891,1aab982f-889b-4284-85d7-87f972ad1f16,,,,,,,,,
1892,1aaf0704-6dca-4243-8c8d-f12e607f0a1c,,,,,,Private (through parent/caregiver),,,
1893,1ab59f07-98a4-4235-9f77-e3a642860ccc,,,,,,Medicaid or CHIP,,,
1894,1ab7444b-6b6d-4e4c-a484-ee406f8b44f3,,,,,,Private (through parent/caregiver),,,
1895,1ab86229-5f92-469d-84b5-0f07a98fe429,,,,,,Private (through parent/caregiver),,,69.0
1896,1ab870d6-4fa4-4293-9350-e3c11134fc22,,,,,,Medicaid or CHIP,,,
1897,1abe0e45-5599-4f99-856c-bf9324c2daf6,,,,,,Private (through parent/caregiver),,,
1898,1ac0d083-ef08-48a7-80e1-58bd745dd3dc,,,,,,Medicaid or CHIP,,,
1899,1ac1519c-e5b7-4b9b-8e12-1d0397407131,,,,,,Private (through parent/caregiver),,,
1900,1ad299ab-2d4e-4e36-b280-c1bb03f5ee20,,,,,,,,,
1901,1ad4fa77-9cd3-482f-accd-f25905f5886b,,,,,,Private (through parent/caregiver),,,
1902,1ad85880-ef7b-4f48-bb4e-07dafce64a0a,,,,,,Medicaid or CHIP,,,
1903,1ae1c67b-8ff4-487b-9cc7-8ebc6e99cd18,,,,,,Don't Know,,,
1904,1aea6053-2217-47db-92bb-766d9d0748e0,,,,,,Private (through parent/caregiver),,,
1905,1aed14ee-df0e-4ad5-a339-90ec5c1c6d18,,,,,,Medicaid or CHIP,,,
1906,1aed1c38-7bbd-4603-a4e3-2cab4b673704,,,,,,Private (through parent/caregiver),,,
1907,1aed9612-cc21-4cc4-a851-32b01d42ecea,,,,,,Private (through parent/caregiver),,,
1908,1af4bc9d-e1d3-4b66-b580-a631daeb9377,,,,,,,,,
1909,1b0c2231-6593-4551-9429-a83cf041bd46,,,,,,Private (through parent/caregiver),,,
1910,1b0d051f-4125-4c85-8645-7edd03bbe5af,,,,,,,,,
1911,1b0efae3-ac6a-4feb-83b5-7aacec3c0e5c,,,,,,Medicaid or CHIP,,,
1912,1b0f4f9c-d1d2-445f-b30e-9716596501f3,,,,,,Private (through parent/caregiver),,,
1913,1b10a3b1-81b2-406d-ab5b-6d9859956656,,,,,,Private (through parent/caregiver),,,84.0
1914,1b16c3fa-0e59-4fef-8ef6-9383a9a0148e,,,,,,,,,
1915,1b1aec35-c1b5-400a-9419-32dc684c3b7f,,,,,,Medicaid or CHIP,,,
1916,1b1aee06-3146-4894-b345-b2f921c71a04,,,,,,,,,
1917,1b1e17d9-3555-479a-b7e4-1bb13cc8050d,,,,,,Don't Know,,,
1918,1b21f236-8b2b-41d4-a52f-29596f4641b1,"Over $75,000",Yes,No,,Yes,Private (through parent/caregiver),1,Employed part-time outside of the home,85.0
1919,1b22513a-2bb4-4fdf-be79-b1c9de9f4db0,,,,,,Private (through parent/caregiver),,,
1920,1b22d0e0-a6a1-4c4b-aa59-0d0cf334e12e,,,,,,Private (through parent/caregiver),,,
1921,1b27fc54-0a04-494b-bf80-7dad671cb82b,,,,,,Private (through parent/caregiver),,,
1922,1b3275f3-43b9-4bcd-a788-3cbc37a404d9,,,,,,Private (through parent/caregiver),,,
1923,1b35b3b9-0a78-4d11-898c-1abb44781d6a,,,,,,Private (through parent/caregiver),,,
1924,1b3f736e-ab09-4caa-bf76-456b160e49be,,,,,,Medicaid or CHIP,,,
1925,1b40dde9-be5c-4aa1-9526-12e9d2fa8744,,,,,,Private (through parent/caregiver),,,
1926,1b4431c0-0b03-49cc-8126-a1b8e69dc48a,,,,,,Private (through parent/caregiver),,,
1927,1b44ac40-70a3-4803-8769-dbaeb37552e2,,,,,,Medicaid or CHIP,,,
1928,1b48cdd3-0a22-40e3-99ac-2620904228cb,,,,,,Medicaid or CHIP,,,
1929,1b51b6c5-9dcf-4301-b583-b50642ea14db,,,,,,Medicaid or CHIP,,,
1930,1b558adf-49f3-4028-8a03-cbb7435c4303,,,,,,,,,
1931,1b55b240-7951-4f33-8421-13873bc09f18,,,,,,Private (through parent/caregiver),,,
1932,1b57103e-7d8a-4c65-8734-7dcb66f57ecd,,,,,,Medicaid or CHIP,,,
1933,1b5b9593-a4a7-4662-9606-7cf920c4c7b3,,,,,,Medicaid or CHIP,,,
1934,1b5d21f6-ebd3-454a-af9a-98bcea906735,,,,,,Private (through parent/caregiver),,,
1935,1b6097c9-dfb2-41c6-99a5-e8f0c37d7072,,,,,,Private (through parent/caregiver),,,
1936,1b68b17c-207e-4b2f-a591-95ce6f0cfc67,,,,,,Private (through parent/caregiver),,,
1937,1b6ff1cf-928c-460b-b568-61356046b4a3,,,,,,Private (through parent/caregiver),,,
1938,1b7474e9-4563-4c70-9c2a-62ca82f5fd73,,,,,,Medicaid or CHIP,,,
1939,1b748acd-2182-4ca1-a32a-b1e8b8bc937e,,,,,,Private (through parent/caregiver),,,
1940,1b770e83-dd85-44c1-934f-5e3daba3f1cc,,,,,,Private (through parent/caregiver),,,
1941,1b7b93c0-4666-4ed8-9ae6-f71c2895e28c,,,,,,,,,
1942,1b7d25fe-24ce-42ca-a8a0-bb9c4974359b,,,,,,Medicaid or CHIP,,,
1943,1b88cd29-6512-4f43-ae67-f87b30b80adc,,,,,,Private (through parent/caregiver),,,
1944,1b893801-e3c0-48be-badc-7a7677885939,,,,,,,,,
1945,1b8a5bf8-ecab-41f0-ad27-4355b950da95,,,,,,Private (through parent/caregiver),,,
1946,1b900b7d-f362-4012-9d82-87a74951ba3a,,,,,,Medicaid or CHIP,,,
1947,1b9503b6-c3f8-471d-9621-96a71ce2f732,,,,,,Private (through parent/caregiver),,,
1948,1ba14491-f228-43bf-a2af-5e014084299a,,,,,,Medicaid or CHIP,,,
1949,1ba23009-9f12-4d52-8e4f-dbac32e377ed,,,,,,,,,
1950,1ba278dc-3020-45f3-822b-d2c79cca76e3,,,,,,Medicaid or CHIP,,,
1951,1ba2ed62-028d-45c8-a91e-5cbbe6f08f00,,,,,,Don't Know,,,
1952,1ba91bbb-4c5c-4810-be03-b833e804c90c,,,,,,Private (through parent/caregiver),,,
1953,1baf241a-74df-452e-bbec-d8afcf066269,,,,,,Medicaid or CHIP,,,
1954,1bb050a4-84b5-47de-93dd-79fa22fe585e,,,,,,Private (through parent/caregiver),,,
1955,1bb3176c-c351-4301-886a-0e5e5685a51e,,,,,,Private (through parent/caregiver),,,
1956,1bb414b6-ae4a-4cb8-9c56-c13ab5e1cd69,,,,,,Medicaid or CHIP,,,
1957,1bba7910-c6ee-43eb-99f6-a7a1e5191c76,,,,,,,,,
1958,1bbe9d54-4fa4-4adb-b33c-a8c3337ba7e7,,,,,,Medicaid or CHIP,,,
1959,1bbfde67-b577-4012-ae38-042bf4538629,,,,,,Medicaid or CHIP,,,
1960,1bc30879-919f-46de-91cc-8bc4e282ceaa,,,,,,Private (through parent/caregiver),,,78.0
1961,1bc475b5-4caa-49f8-9ad1-5d22ffb63fd7,,,,,,,,,
1962,1bc88482-5599-46cf-b9fd-74211c17baf7,,,,,,Private (through parent/caregiver),,,
1963,1bcd39ad-8f4b-4bbd-8e86-863c857bdeb1,,,,,,Private (through parent/caregiver),,,
1964,1bd450a8-d057-484c-9b16-813960d5a106,,,,,,Private (through parent/caregiver),,,
1965,1bd77da6-7df9-4b0f-8867-281be065db51,,,,,,Private (through parent/caregiver),,,
1966,1bda6812-ef4e-4c33-bb12-df477e4f1bff,,,,,,Private (through parent/caregiver),,,
1967,1bdd4d1c-c6af-4a1f-b27c-5f323f2c1468,,,,,,Medicaid or CHIP,,,
1968,1bdd8149-7b8c-4d3c-8a30-18071a3042c7,,,,,,,,,
1969,1be185e0-5daa-4875-bb49-bee6d4fbc70c,,,,,,Medicaid or CHIP,,,
1970,1be2c4a5-370f-4c72-8b25-47826281673c,,,,,,Don't Know,,,
1971,1be3f27b-ba76-48b5-8205-9b350156246d,,,,,,Private (through parent/caregiver),,,
1972,1be4c9cb-7253-46ad-b402-e2957a40ed40,,,,,,Medicaid or CHIP,,,
1973,1be50ed2-09e2-4a4c-a34a-9678bce34fd4,,,,,,,,,
1974,1be5c107-8302-4b39-bd0f-33986ffd0a2c,,,,,,Medicaid or CHIP,,,
1975,1be8fe5e-16f2-4d66-b55f-f131a0db96c6,,,,,,Private (through parent/caregiver),,,
1976,1bea6e7d-6e3d-4923-9ede-eaf4ce1c21fc,,,,,,,,,
1977,1bece144-78f7-4928-a25e-dc2597d115a5,,,,,,Medicaid or CHIP,,,
1978,1bedc3aa-a9da-4d94-9dd7-143f9b57d7d1,,,,,,None,,,
1979,1bedd3d9-a7ba-4ab6-ac09-7e92894ab698,,,,,,Private (through parent/caregiver),,,
